下单店铺,成交订单数,低风险成交订单占比,中低风险成交订单占比,中高风险成交订单占比,高风险成交订单占比,成交用户数,男性成交订单占比,女性成交订单占比,成交订单平均年龄,成交订单月租平均金额,免押成交订单占比,部分押成交订单占比,成交订单省份top1,低风险逾期率,中低风险逾期率,中高风险逾期率,高风险逾期率,下单周
一个苹果,10,0.1,0.6,0.3,0,10,0.9,0.1,24,556.38,0.7,0.3,广东省,0,0.167,0,0,11
乐捷通讯,44,0.227,0.727,0.045,0,44,0.523,0.477,31,1012.432,0.295,0.705,浙江省,0.1,0.031,0,0,11
乐购亦享,57,0.035,0.105,0.842,0.018,55,0.596,0.404,29,2152.337,1,0,江苏省,0.5,0.333,0.229,0,11
和谐租机,1,1,0,0,0,1,1,0,28,1080.6,1,0,四川省,0,0,0,0,11
楠鱼科技,10,0.1,0.9,0,0,10,1,0,27,451.8,0.7,0.3,广东省,0,0.111,0,0,11
润鑫数码,16,0.438,0.5,0.062,0,16,0.625,0.375,30,808.594,0.562,0.438,广东省,0,0,0,0,11
Z汇,10,0.9,0.1,0,0,10,0.8,0.2,28,650.91,0.8,0.2,广东省,0,0,0,0,11
租租侠,1,0,0,1,0,1,1,0,22,177.3,0,1,广东省,0,0,0,0,11
筑沃租机,1,0,1,0,0,1,1,0,25,272.7,1,0,广东省,0,0,0,0,11
纵横数码科技,18,0.222,0.5,0.278,0,18,0.778,0.222,29,800.75,0.222,0.778,湖南省,0.25,0.333,1,0,11
美宜租,16,0.188,0.438,0.375,0,16,0.938,0.062,24,518.981,0.312,0.688,广东省,0,0.286,0,0,11
蓝动租机,49,0.224,0.755,0.02,0,49,0.592,0.408,31,993.857,0.245,0.755,广东省,0.091,0.054,0,0,11
一点租,1,1,0,0,0,1,1,0,27,1650,1,0,浙江省,0,0,0,0,10
乐捷通讯,47,0.213,0.702,0.085,0,47,0.574,0.426,30,1011.606,0.17,0.83,山东省,0,0.061,0,0,10
乐购亦享,22,0.045,0.318,0.636,0,22,0.636,0.364,30,2119.773,1,0,四川省,0,0.571,0.214,0,10
和谐租机,7,0.429,0.429,0.143,0,7,0.857,0.143,32,1051.414,0.571,0.429,广东省,0,0.333,1,0,10
楠鱼科技,10,0.3,0.7,0,0,9,0.9,0.1,26,418.95,0.7,0.3,广东省,0,0.143,0,0,10
Z汇,5,0.4,0.6,0,0,5,0.4,0.6,32,926.46,0.4,0.6,四川省,0,0,0,0,10
纵横数码科技,51,0.333,0.49,0.176,0,51,0.784,0.216,29,742.724,0.235,0.765,浙江省,0.059,0.12,0.667,0,10
美宜租,12,0.25,0.25,0.5,0,12,0.917,0.083,25,326.725,0.5,0.5,广东省,0,0,0,0,10
蓝动租机,55,0.218,0.782,0,0,55,0.509,0.491,31,1020.278,0.309,0.691,江苏省,0.167,0.233,0,0,10
乐捷通讯,35,0.143,0.686,0.171,0,35,0.486,0.514,30,958.843,0.314,0.686,江苏省,0,0.125,0.167,0,9
和谐租机,25,0.08,0.92,0,0,25,0.68,0.32,29,1100.88,0.04,0.96,浙江省,0.5,0.391,0,0,9
Z汇,2,0.5,0.5,0,0,2,1,0,30,1101.15,0.5,0.5,浙江省,1,1,0,0,9
电竞之家,1,0,0,1,0,1,1,0,30,768,0,1,陕西省,0,0,0,0,9
租租侠,4,0.25,0.5,0.25,0,4,1,0,24,425.55,0.5,0.5,安徽省,0,0,0,0,9
筑沃租机,3,0.667,0.333,0,0,3,0.667,0.333,29,418.4,0.333,0.667,上海市,0,0,0,0,9
米思优品,1,0,1,0,0,1,1,0,31,240,1,0,广东省,0,0,0,0,9
纵横数码科技,33,0.242,0.424,0.333,0,33,0.788,0.212,27,846.6,0.212,0.788,浙江省,0.5,0.357,0.455,0,9
美宜租,7,0.143,0.286,0.571,0,7,0.714,0.286,23,578.4,0.286,0.714,广东省,0,0,0,0,9
老男孩电玩科技,1,1,0,0,0,1,1,0,26,45,1,0,江苏省,0,0,0,0,9
蓝动租机,80,0.225,0.775,0,0,80,0.738,0.262,31,1032.75,0.238,0.762,广东省,0.278,0.274,0,0,9
锦歌电脑,1,0,1,0,0,1,1,0,25,225,1,0,湖北省,0,0,0,0,9
随时玩,1,1,0,0,0,1,1,0,26,594,1,0,江苏省,0,0,0,0,9
七国科技,1,1,0,0,0,1,0,1,25,437.4,0,1,山西省,1,0,0,0,8
乐捷通讯,28,0.25,0.643,0.107,0,28,0.643,0.357,31,1101.15,0.321,0.679,江苏省,0.143,0.056,0,0,8
创梦租机,1,0,1,0,0,1,1,0,20,177,1,0,陕西省,0,0,0,0,8
和谐租机,30,0.5,0.467,0.033,0,30,0.533,0.467,31,1125.14,0.3,0.7,广东省,0.467,0.571,0,0,8
租租侠,6,0.167,0.5,0.333,0,6,1,0,24,565.85,0.667,0.333,广东省,0,0,0,0,8
米思优品,2,1,0,0,0,2,1,0,29,260.4,1,0,山东省,0,0,0,0,8
纵横数码科技,68,0.353,0.441,0.206,0,68,0.794,0.206,28,708.622,0.309,0.691,广东省,0.083,0.267,0.571,0,8
美宜租,22,0.409,0.409,0.182,0,22,0.955,0.045,26,508.064,0.545,0.455,福建省,0,0,0,0,8
蓝动租机,43,0.233,0.767,0,0,43,0.628,0.372,28,967.863,0.372,0.628,江苏省,0.4,0.242,0,0,8
七隆租,1,1,0,0,0,1,1,0,22,192.3,1,0,山西省,0,0,0,0,7
乐捷通讯,29,0.345,0.552,0.103,0,29,0.483,0.517,31,1005.497,0.276,0.724,浙江省,0.1,0.062,0,0,7
创梦租机,3,0,1,0,0,3,1,0,27,200,0.333,0.667,吉林省,0,0.667,0,0,7
和谐租机,35,0.257,0.714,0.029,0,35,0.714,0.286,30,1084.431,0.086,0.914,浙江省,0.444,0.36,0,0,7
四海租赁,1,1,0,0,0,1,1,0,30,190.5,1,0,河南省,0,0,0,0,7
宸宇租赁,1,1,0,0,0,1,0,1,24,261.9,1,0,浙江省,0,0,0,0,7
富兆租赁,1,1,0,0,0,1,0,1,25,349.8,1,0,湖北省,0,0,0,0,7
租租侠,1,0,1,0,0,1,1,0,21,283.2,1,0,云南省,0,0,0,0,7
纵横数码科技,77,0.117,0.429,0.429,0.026,77,0.831,0.169,30,772.609,0.221,0.779,江苏省,0.222,0.364,0.545,0.5,7
美宜租,8,0.375,0,0.5,0.125,8,0.875,0.125,27,325.988,0.25,0.75,广东省,0,0,0.25,0,7
蓝动租机,68,0.368,0.574,0.059,0,68,0.618,0.382,31,966.71,0.25,0.75,江苏省,0.32,0.205,0.5,0,7
乐捷通讯,20,0.5,0.4,0.1,0,20,0.55,0.45,30,1067.475,0.4,0.6,浙江省,0.1,0.25,0.5,0,6
六六手机优品,1,0,1,0,0,1,1,0,23,445.8,1,0,河南省,0,0,0,0,6
创梦租机,5,0,0.6,0.4,0,5,0.8,0.2,26,205.2,0.2,0.8,广东省,0,0,0.5,0,6
和谐租机,26,0.269,0.731,0,0,26,0.731,0.269,28,1095.092,0.077,0.923,安徽省,0.429,0.474,0,0,6
四海租赁,1,1,0,0,0,1,1,0,20,122.7,1,0,江苏省,0,0,0,0,6
易飞户外数码租赁店,1,1,0,0,0,1,1,0,25,2400,0,1,江西省,0,0,0,0,6
米思优品,1,1,0,0,0,1,1,0,29,226.5,1,0,上海市,0,0,0,0,6
纵横数码科技,37,0.243,0.351,0.351,0.054,37,0.784,0.216,29,692.286,0.324,0.676,湖南省,0.333,0.538,0.308,0,6
美宜租,11,0.364,0.273,0.364,0,11,0.909,0.091,29,405.927,0.636,0.364,广东省,0,0,0.25,0,6
蓝动租机,47,0.404,0.553,0.021,0.021,47,0.532,0.468,30,990.574,0.298,0.702,江苏省,0.158,0.462,0,0,6
七国科技,2,0.5,0.5,0,0,2,1,0,24,1070.4,0.5,0.5,广东省,0,0,0,0,5
乐捷通讯,12,0.25,0.667,0.083,0,12,0.667,0.333,32,1140.45,0.333,0.667,江苏省,0,0.125,0,0,5
创梦租机,3,0.333,0.333,0,0.333,3,1,0,25,220,0,1,福建省,0,1,0,1,5
和谐租机,13,0.385,0.538,0.077,0,13,0.615,0.385,30,1167.762,0.462,0.538,江苏省,0.2,0.143,1,0,5
四海租赁,1,0,1,0,0,1,1,0,23,161.7,0,1,广东省,0,0,0,0,5
租租侠,1,1,0,0,0,1,1,0,28,339.6,0,1,广东省,0,0,0,0,5
米思优品,2,1,0,0,0,2,0.5,0.5,28,583.35,1,0,上海市,0,0,0,0,5
美宜租,16,0.5,0.312,0.062,0.125,16,0.75,0.25,25,504,0.562,0.438,广东省,0,0,1,0,5
茂盛数码易租,1,0,0,1,0,1,1,0,29,767.4,0,1,广西壮族自治区,0,0,1,0,5
蓝动租机,36,0.222,0.639,0.139,0,36,0.583,0.417,31,1117.333,0.167,0.833,江苏省,0.125,0.217,0.4,0,5
随时玩,1,1,0,0,0,1,1,0,33,282.9,0,1,河南省,1,0,0,0,5
一点租,1,1,0,0,0,1,0,1,23,510,1,0,陕西省,0,0,0,0,4
乐捷通讯,2,0,0.5,0.5,0,2,0.5,0.5,27,1088.7,0,1,山东省,0,0,0,0,4
爱尚租,1,0,1,0,0,1,0,1,19,447,0,1,福建省,0,0,0,0,4
电竞之家,1,1,0,0,0,1,1,0,30,150,1,0,广东省,0,0,0,0,4
米思优品,2,0.5,0.5,0,0,2,0.5,0.5,28,202.5,0.5,0.5,广东省,0,0,0,0,4
美宜租,2,0.5,0,0.5,0,2,1,0,25,520.35,0.5,0.5,上海市,0,0,1,0,4
茂盛数码易租,1,1,0,0,0,1,1,0,20,635.1,1,0,山东省,0,0,0,0,4
蓝动租机,8,0.125,0.875,0,0,8,1,0,29,1078.238,0.375,0.625,山东省,0,0.286,0,0,4
蓝动租机,10,0.2,0.8,0,0,10,0.3,0.7,31,1137.99,0.2,0.8,四川省,0,0.125,0,0,3
七国科技,1,1,0,0,0,1,1,0,24,679.8,0,1,江西省,0,0,0,0,2
乐捷通讯,23,0.348,0.565,0.087,0,23,0.696,0.304,29,1091.909,0.217,0.783,山东省,0.25,0.231,0,0,2
和谐租机,1,0,1,0,0,1,1,0,33,1204.2,0,1,山东省,0,0,0,0,2
爱尚租,1,0,1,0,0,1,1,0,26,678,1,0,贵州省,0,1,0,0,2
米思优品,2,1,0,0,0,2,1,0,26,426.75,0,1,浙江省,0,0,0,0,2
美宜租,12,0.417,0.417,0.083,0.083,12,0.833,0.167,25,517.125,0.5,0.5,湖南省,0,0.2,0,0,2
蓝动租机,79,0.38,0.582,0.038,0,79,0.582,0.418,29,1086.558,0.203,0.797,江苏省,0.133,0.413,0.667,0,2
七国科技,1,0,1,0,0,1,1,0,19,581.1,0,1,广东省,0,1,0,0,1
乐捷通讯,19,0.263,0.684,0.053,0,19,0.684,0.316,30,1189.247,0.263,0.737,山东省,0,0.385,1,0,1
六六手机优品,1,0,1,0,0,1,1,0,19,249.9,0,1,四川省,0,0,0,0,1
创梦租机,3,0.333,0.333,0.333,0,3,1,0,22,218,0.333,0.667,广东省,0,0,0,0,1
和谐租机,22,0.136,0.818,0.045,0,22,0.773,0.227,30,1090.895,0.091,0.909,江苏省,0.333,0.5,1,0,1
富兆租赁,1,1,0,0,0,1,0,1,26,237,1,0,甘肃省,0,0,0,0,1
租租侠,1,0,1,0,0,1,1,0,20,181.2,1,0,云南省,0,0,0,0,1
米思优品,1,0,1,0,0,1,1,0,24,91.8,0,1,山东省,0,0,0,0,1
美宜租,9,0.333,0.333,0.222,0.111,9,0.889,0.111,27,349.467,0.556,0.444,广东省,0,0,0,0,1
茂盛数码易租,2,0.5,0.5,0,0,2,1,0,33,528.15,0.5,0.5,河北省,0,1,0,0,1
蓝动租机,39,0.282,0.667,0.026,0.026,38,0.641,0.359,30,1140.269,0.205,0.795,广东省,0.455,0.462,0,0,1
随时玩,1,0,0,1,0,1,1,0,31,351,0,1,贵州省,0,0,0,0,1
七国科技,2,0,0,1,0,2,1,0,28,445.2,0,1,山西省,0,0,1,0,52
七隆租,1,0,1,0,0,1,1,0,25,249,1,0,四川省,0,0,0,0,52
乐捷通讯,13,0.308,0.615,0.077,0,13,0.615,0.385,31,1150.292,0,1,浙江省,0,0.375,0,0,52
创梦租机,2,0,0,0.5,0.5,2,0.5,0.5,36,154.5,0,1,山东省,0,0,1,0,52
和谐租机,19,0.316,0.579,0.105,0,19,0.842,0.158,30,1167.742,0.316,0.684,浙江省,0,0.545,0,0,52
租租侠,4,0.5,0.5,0,0,4,0.75,0.25,24,327.6,0.25,0.75,辽宁省,0.5,0.5,0,0,52
米思优品,1,1,0,0,0,1,1,0,27,185.4,1,0,广东省,0,0,0,0,52
美宜租,6,0.5,0,0,0.5,6,1,0,30,388.15,0.333,0.667,贵州省,0,0,0,0,52
茂盛数码易租,1,0,0,1,0,1,1,0,22,345.3,0,1,广东省,0,0,1,0,52
蓝动租机,26,0.423,0.423,0.154,0,26,0.462,0.538,31,1144.373,0.423,0.577,浙江省,0.364,0.091,0.75,0,52
乐捷通讯,30,0.467,0.367,0.167,0,30,0.8,0.2,29,1162.03,0.333,0.667,四川省,0.429,0.364,0.6,0,51
六六手机优品,1,0,0,1,0,1,1,0,19,325.8,0,1,辽宁省,0,0,0,0,51
创梦租机,1,0,1,0,0,1,1,0,26,249,0,1,福建省,0,0,0,0,51
和谐租机,18,0.111,0.111,0.778,0,18,0.833,0.167,28,1172.2,0.056,0.944,广东省,0.5,0.5,0.5,0,51
四海租赁,1,1,0,0,0,1,1,0,23,377.1,1,0,湖北省,0,0,0,0,51
头号玩家数码科技（苏州）有限公司,1,1,0,0,0,1,0,1,23,141,1,0,广西壮族自治区,0,0,0,0,51
爱尚租,1,0,0,1,0,1,1,0,20,678,0,1,山东省,0,0,0,0,51
米思优品,1,1,0,0,0,1,1,0,23,453,1,0,湖南省,0,0,0,0,51
美宜租,9,0.222,0.222,0.111,0.444,9,1,0,29,467,0.667,0.333,广东省,0,0,1,0.25,51
茂盛数码易租,1,0,0,1,0,1,1,0,19,261.6,0,1,江苏省,0,0,0,0,51
蓝动租机,38,0.079,0.289,0.579,0.053,38,0.5,0.5,30,1125.655,0.158,0.842,浙江省,0,0.364,0.364,0,51
乐捷通讯,49,0.184,0.245,0.571,0,49,0.673,0.327,29,1181.602,0.204,0.796,浙江省,0.222,0.583,0.536,0,50
乐租数码,1,1,0,0,0,1,0,1,22,240,1,0,广东省,0,0,0,0,50
创梦租机,3,0.667,0.333,0,0,3,1,0,28,260,0.667,0.333,四川省,0,0,0,0,50
和谐租机,23,0.304,0.174,0.522,0,23,0.783,0.217,30,1165.252,0.13,0.87,山东省,0.714,0.5,0.75,0,50
天悦租机,6,0.5,0,0.167,0.333,6,0.667,0.333,29,999.7,0.333,0.667,云南省,0.333,0,1,1,50
择机汇话费产品,1,1,0,0,0,1,1,0,34,198.9,1,0,贵州省,0,0,0,0,50
电竞之家,1,0,0,1,0,1,1,0,22,330,0,1,贵州省,0,0,0,0,50
租租侠,4,0.25,0.5,0.25,0,4,0.5,0.5,28,425.625,0.25,0.75,广西壮族自治区,1,0,0,0,50
米思优品,1,1,0,0,0,1,1,0,22,116.7,0,1,山西省,1,0,0,0,50
美宜租,8,0,0.375,0.375,0.25,8,0.875,0.125,24,450.488,0.375,0.625,浙江省,0,0,0,0,50
茂盛数码易租,1,0,1,0,0,1,1,0,25,713.7,1,0,贵州省,0,1,0,0,50
蓝动租机,38,0.263,0.184,0.553,0,38,0.658,0.342,32,1165.097,0.211,0.789,浙江省,0.6,0.286,0.524,0,50
趣机,2,0,0,0,1,2,1,0,38,198.9,1,0,贵州省,0,0,0,0.5,50
乐捷通讯,79,0.405,0.253,0.342,0,79,0.734,0.266,29,1179.091,0.43,0.57,江苏省,0.375,0.3,0.37,0,49
乐租数码,1,1,0,0,0,1,1,0,23,1020,1,0,浙江省,0,0,0,0,49
六六手机优品,2,0,0,0.5,0.5,2,1,0,30,906.15,0,1,云南省,0,0,1,1,49
创梦租机,1,0,0,1,0,1,1,0,19,132,0,1,浙江省,0,0,0,0,49
和谐租机,17,0.294,0.412,0.294,0,17,0.765,0.235,31,1131.706,0.353,0.647,江苏省,0.4,0.429,0.4,0,49
天悦租机,18,0.333,0,0.5,0.167,18,0.944,0.056,29,786.483,0.167,0.833,浙江省,0.5,0,0.778,0.667,49
富兆租赁,2,1,0,0,0,2,0.5,0.5,26,338.4,1,0,湖北省,0,0,0,0,49
电竞之家,1,0,0,1,0,1,1,0,22,333,0,1,贵州省,0,0,0,0,49
租租侠,1,0,1,0,0,1,1,0,28,460.5,0,1,山西省,0,0,0,0,49
米思优品,3,1,0,0,0,3,1,0,27,400.2,1,0,福建省,0,0,0,0,49
美宜租,8,0.25,0.25,0,0.5,8,0.875,0.125,27,505.35,0.5,0.5,山东省,0,0,0,0,49
蓝动租机,36,0.222,0.111,0.583,0.083,36,0.722,0.278,30,1158.142,0.194,0.806,浙江省,0.375,1,0.286,0.667,49
锐彤通讯有限公司,1,0,1,0,0,1,1,0,32,243.3,0,1,云南省,0,0,0,0,49
七国科技,2,0,0,1,0,2,1,0,37,453,0,1,广东省,0,0,1,0,48
乐捷通讯,41,0.244,0.195,0.537,0.024,41,0.805,0.195,28,1162.756,0.22,0.78,广东省,0.3,0.125,0.591,1,48
和谐租机,17,0.176,0.059,0.529,0.235,17,0.765,0.235,30,1123.535,0.059,0.941,广东省,0,0,0.778,0.5,48
天悦租机,7,0.143,0.429,0.286,0.143,7,0.714,0.286,27,916.243,0.143,0.857,广东省,0,0.333,0.5,1,48
租租侠,1,1,0,0,0,1,0,1,21,339.6,1,0,贵州省,0,0,0,0,48
米思优品,3,0.667,0,0.333,0,3,1,0,30,215.2,0.333,0.667,甘肃省,0,0,1,0,48
美宜租,6,0.167,0.167,0,0.667,6,0.667,0.333,23,497.55,0.333,0.667,福建省,0,0,0,0,48
茂盛数码易租,2,0,0,1,0,2,1,0,22,276.45,0.5,0.5,广东省,0,0,1,0,48
蓝动租机,35,0.114,0.429,0.4,0.057,35,0.543,0.457,31,1160.563,0.257,0.743,浙江省,0,0.467,0.643,0,48
七国科技,1,1,0,0,0,1,1,0,34,702.3,1,0,广东省,0,0,0,0,47
乐捷通讯,38,0.184,0.237,0.421,0.158,38,0.763,0.237,27,1175.668,0.289,0.711,广东省,0.286,0.111,0.562,0.333,47
和谐租机,14,0.071,0.143,0.786,0,14,0.714,0.286,30,1177.371,0,1,江苏省,0,0,0.364,0,47
天悦租机,12,0.417,0.25,0.333,0,12,0.833,0.167,31,791.175,0.25,0.75,浙江省,0.2,0.667,0.75,0,47
富兆租赁,1,0,1,0,0,1,1,0,30,234.9,1,0,福建省,0,0,0,0,47
电竞之家,1,1,0,0,0,1,1,0,24,165,1,0,广东省,0,0,0,0,47
租租侠,1,1,0,0,0,1,1,0,21,177.6,1,0,江西省,0,0,0,0,47
米思优品,4,1,0,0,0,4,0.75,0.25,27,288.45,1,0,江苏省,0,0,0,0,47
茂盛数码易租,3,0.333,0.667,0,0,3,1,0,21,292.5,1,0,云南省,0,0,0,0,47
蓝动租机,45,0.067,0.2,0.689,0.044,45,0.622,0.378,30,1192.92,0.044,0.956,江苏省,0.333,0.222,0.742,1,47
锐彤通讯有限公司,1,1,0,0,0,1,1,0,27,460.5,1,0,江苏省,0,0,0,0,47
七隆租,1,1,0,0,0,1,1,0,31,486.9,1,0,内蒙古自治区,0,0,0,0,46
乐捷通讯,42,0.167,0.333,0.5,0,42,0.738,0.262,28,1156.086,0.19,0.81,江苏省,0.286,0.429,0.524,0,46
六六手机优品,2,0.5,0.5,0,0,2,1,0,28,610.65,0.5,0.5,江苏省,0,0,0,0,46
创梦租机,2,1,0,0,0,2,1,0,32,310.5,0.5,0.5,河南省,0,0,0,0,46
和谐租机,29,0.103,0.207,0.69,0,29,0.552,0.448,31,1145.472,0.069,0.931,浙江省,0.333,0.333,0.8,0,46
天悦租机,10,0.2,0.5,0.3,0,10,1,0,29,587.37,0.1,0.9,广东省,0,0.6,1,0,46
租物租,1,1,0,0,0,1,1,0,26,394.8,1,0,广东省,0,0,0,0,46
米思优品,2,1,0,0,0,2,1,0,32,175.65,0.5,0.5,贵州省,0,0,0,0,46
茂盛数码易租,1,1,0,0,0,1,0,1,24,478.8,1,0,海南省,1,0,0,0,46
蓝动租机,33,0.152,0.152,0.697,0,33,0.606,0.394,31,1137.136,0.152,0.848,江苏省,0.2,0.8,0.609,0,46
金鑫租赁,1,1,0,0,0,1,1,0,23,268.8,1,0,四川省,0,0,0,0,46
七国科技,6,0.333,0.333,0.333,0,6,1,0,29,567.75,0.167,0.833,广东省,0.5,1,1,0,45
乐捷通讯,8,0.625,0.25,0.125,0,8,0.5,0.5,30,1145.738,0.5,0.5,江苏省,0,0,0,0,45
六六手机优品,4,0,0.75,0.25,0,4,1,0,26,310.35,0.25,0.75,广东省,0,0.333,0,0,45
和谐租机,34,0.324,0.471,0.206,0,34,0.706,0.294,30,1141.694,0.118,0.882,浙江省,0.455,0.438,0.714,0,45
天悦租机,2,1,0,0,0,2,1,0,27,1121.7,0.5,0.5,江苏省,0,0,0,0,45
富兆租赁,1,0,0,1,0,1,1,0,20,163.2,0,1,广东省,0,0,1,0,45
晨美饰品,1,1,0,0,0,1,1,0,19,332.4,1,0,浙江省,0,0,0,0,45
爱尚租,1,1,0,0,0,1,1,0,22,447,1,0,安徽省,0,0,0,0,45
租物租,3,0.333,0.333,0.333,0,3,1,0,30,585.5,0.333,0.667,贵州省,1,0,0,0,45
茂盛数码易租,1,0,0,1,0,1,1,0,26,521.7,0,1,江西省,0,0,0,0,45
蓝动租机,34,0.294,0.265,0.441,0,34,0.735,0.265,30,1095.697,0.118,0.882,安徽省,0.5,0.444,0.6,0,45
锐彤通讯有限公司,2,0,0.5,0.5,0,2,0.5,0.5,30,799.65,0,1,四川省,0,0,1,0,45
蓝动租机,2,0.5,0.5,0,0,2,1,0,28,1218,0,1,江苏省,1,0,0,0,44
